timestamp,year,month,day,hour,min,sec,valid_flags,num_sats,lon,lat,height,height_msl,accuracy_horiz,accuracy_vertical,vel_north,vel_east,vel_down,ground_speed,hdg,accuracy_speed,accuracy_hdg
4007501449,2024,2,11,17,25,38,3,0,0,0,0,-17,4294967.5,3849302.25,0,0,0,0,0,402.753,18000
4007605713,2024,2,11,17,25,38,3,0,0,0,0,-17,4294967.5,3849310.5,0,0,0,0,0,402.759,18000
4007699457,2024,2,11,17,25,38,3,0,0,0,0,-17,4294967.5,3849318.5,0,0,0,0,0,402.764,18000
4007838391,2024,2,11,17,25,39,3,0,0,0,0,-17,4294967.5,3849326.5,0,0,0,0,0,402.769,18000
4007897479,2024,2,11,17,25,39,3,0,0,0,0,-17,4294967.5,3849334.5,0,0,0,0,0,402.773,18000
4008001766,2024,2,11,17,25,39,3,0,0,0,0,-17,4294967.5,3849342.5,0,0,0,0,0,402.778,18000
4008096367,2024,2,11,17,25,39,3,0,0,0,0,-17,4294967.5,3849350.5,0,0,0,0,0,402.783,18000
4008200633,2024,2,11,17,25,39,3,0,0,0,0,-17,4294967.5,3849358.5,0,0,0,0,0,402.789,18000
4008294386,2024,2,11,17,25,39,3,0,0,0,0,-17,4294967.5,3849366.5,0,0,0,0,0,402.794,18000
4008397805,2024,2,11,17,25,39,3,0,0,0,0,-17,4294967.5,3849374.5,0,0,0,0,0,402.799,18000
4008489321,2024,2,11,17,25,39,3,0,0,0,0,-17,4294967.5,3849382.5,0,0,0,0,0,402.803,18000
4008601637,2024,2,11,17,25,39,3,0,0,0,0,-17,4294967.5,3849390.5,0,0,0,0,0,402.808,18000
4008687341,2024,2,11,17,25,39,3,0,0,0,0,-17,4294967.5,3849398.5,0,0,0,0,0,402.812,18000
4008826070,2024,2,11,17,25,40,3,0,0,0,0,-17,4294967.5,3849406.5,0,0,0,0,0,402.817,18000
4008883261,2024,2,11,17,25,40,3,0,0,0,0,-17,4294967.5,3849414.5,0,0,0,0,0,402.822,18000
4008997676,2024,2,11,17,25,40,3,0,0,0,0,-17,4294967.5,3849422.5,0,0,0,0,0,402.828,18000
4009097901,2024,2,11,17,25,40,3,0,0,0,0,-17,4294967.5,3849430.75,0,0,0,0,0,402.833,18000
4009191659,2024,2,11,17,25,40,3,0,0,0,0,-17,4294967.5,3849438.75,0,0,0,0,0,402.838,18000
4009295930,2024,2,11,17,25,40,3,0,0,0,0,-17,4294967.5,3849446.5,0,0,0,0,0,402.842,18000
4009392851,2024,2,11,17,25,40,3,0,0,0,0,-17,4294967.5,3849454.75,0,0,0,0,0,402.847,18000
4009499236,2024,2,11,17,25,40,3,0,0,0,0,-17,4294967.5,3849462.75,0,0,0,0,0,402.852,18000
4009587698,2024,2,11,17,25,40,3,0,0,0,0,-17,4294967.5,3849470.75,0,0,0,0,0,402.858,18000
4009695162,2024,2,11,17,25,40,3,0,0,0,0,-17,4294967.5,3849478.75,0,0,0,0,0,402.863,18000
4009818267,2024,2,11,17,25,41,3,0,0,0,0,-17,4294967.5,3849486.75,0,0,0,0,0,402.868,18000
4009874583,2024,2,11,17,25,41,3,0,0,0,0,-17,4294967.5,3849494.75,0,0,0,0,0,402.872,18000
4009986906,2024,2,11,17,25,41,3,0,0,0,0,-17,4294967.5,3849502.75,0,0,0,0,0,402.877,18000
4010073467,2024,2,11,17,25,41,3,0,0,0,0,-17,4294967.5,3849511,0,0,0,0,0,402.882,18000
4010184929,2024,2,11,17,25,41,3,0,0,0,0,-17,4294967.5,3849518.75,0,0,0,0,0,402.888,18000
4010272152,2024,2,11,17,25,41,3,0,0,0,0,-17,4294967.5,3849526.75,0,0,0,0,0,402.893,18000
4010382630,2024,2,11,17,25,41,3,0,0,0,0,-17,4294967.5,3849534.75,0,0,0,0,0,402.898,18000
4010483729,2024,2,11,17,25,41,3,0,0,0,0,-17,4294967.5,3849543,0,0,0,0,0,402.903,18000
4010573479,2024,2,11,17,25,41,3,0,0,0,0,-17,4294967.5,3849551,0,0,0,0,0,402.907,18000
4010672479,2024,2,11,17,25,41,3,0,0,0,0,-17,4294967.5,3849559,0,0,0,0,0,402.912,18000
4010794495,2024,2,11,17,25,42,3,0,0,0,0,-17,4294967.5,3849567,0,0,0,0,0,402.917,18000
4010870508,2024,2,11,17,25,42,3,0,0,0,0,-17,4294967.5,3849575,0,0,0,0,0,402.923,18000
4010976688,2024,2,11,17,25,42,3,0,0,0,0,-17,4294967.5,3849583,0,0,0,0,0,402.928,18000
4011075704,2024,2,11,17,25,42,3,0,0,0,0,-17,4294967.5,3849591,0,0,0,0,0,402.933,18000
4011174702,2024,2,11,17,25,42,3,0,0,0,0,-17,4294967.5,3849599,0,0,0,0,0,402.937,18000
4011273715,2024,2,11,17,25,42,3,0,0,0,0,-17,4294967.5,3849607,0,0,0,0,0,402.942,18000
4011372725,2024,2,11,17,25,42,3,0,0,0,0,-17,4294967.5,3849615,0,0,0,0,0,402.947,18000
4011477009,2024,2,11,17,25,42,3,0,0,0,0,-17,4294967.5,3849623,0,0,0,0,0,402.951,18000
4011576017,2024,2,11,17,25,42,3,0,0,0,0,-17,4294967.5,3849631.25,0,0,0,0,0,402.957,18000
4011661719,2024,2,11,17,25,42,3,0,0,0,0,-17,4294967.5,3849639.25,0,0,0,0,0,402.962,18000
4011791953,2024,2,11,17,25,43,3,0,0,0,0,-17,4294967.5,3849647.25,0,0,0,0,0,402.967,18000
4011856309,2024,2,11,17,25,43,3,0,0,0,0,-17,4294967.5,3849655.25,0,0,0,0,0,402.971,18000
