timestamp,flight_phase,pos_n,pos_e,pos_d,vel_n,vel_e,vel_d,acc_n,acc_e,acc_d,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,orient_x,orient_y,orient_z
3137616225,3,0,0,-504.716339,0,0,-155.539093,0,0,17.480536,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137626224,3,0,0,-507.044373,0,0,-155.372528,0,0,17.527237,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137636225,3,0,0,-509.321899,0,0,-155.201492,0,0,17.423500,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137646224,3,0,0,-511.556061,0,0,-155.031067,0,0,17.442724,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137656224,3,0,0,-513.855652,0,0,-154.861725,0,0,17.422508,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137666220,3,0,0,-516.055847,0,0,-154.692291,0,0,17.389482,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137676225,3,0,0,-518.250488,0,0,-154.523773,0,0,17.332470,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137686224,3,0,0,-520.467224,0,0,-154.355621,0,0,17.465750,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137696224,3,0,0,-522.606689,0,0,-154.187210,0,0,17.344305,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137706224,3,0,0,-524.753113,0,0,-154.019577,0,0,17.429890,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137716224,3,0,0,-526.888062,0,0,-153.852722,0,0,17.266783,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137726224,3,0,0,-528.926575,0,0,-153.686035,0,0,17.331854,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137736224,3,0,0,-531.014648,0,0,-153.520126,0,0,17.300562,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137746224,3,0,0,-533.135376,0,0,-153.350418,0,0,17.343128,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137756224,3,0,0,-535.206726,0,0,-153.181335,0,0,17.185049,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137766224,3,0,0,-537.311768,0,0,-153.014130,0,0,17.133568,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137776220,3,0,0,-539.291077,0,0,-152.846451,0,0,17.156416,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137786224,3,0,0,-541.307861,0,0,-152.679596,0,0,17.137468,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137796225,3,0,0,-543.375305,0,0,-152.509171,0,0,17.117973,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137806224,3,0,0,-545.408020,0,0,-152.343246,0,0,17.177681,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137816224,3,0,0,-547.420776,0,0,-152.177338,0,0,17.184023,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137826225,3,0,0,-549.387451,0,0,-152.011780,0,0,17.120237,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137836224,3,0,0,-551.405090,0,0,-151.847244,0,0,17.178276,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137846224,3,0,0,-553.378479,0,0,-151.678131,0,0,17.144556,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137856221,3,0,0,-555.370972,0,0,-151.510452,0,0,17.027761,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137866223,3,0,0,-557.388062,0,0,-151.343781,0,0,17.095470,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137876224,3,0,0,-559.372925,0,0,-151.177734,0,0,16.939207,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137886224,3,0,0,-561.334290,0,0,-151.013092,0,0,16.874989,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137896224,3,0,0,-563.173157,0,0,-150.848282,0,0,16.840801,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137906225,3,0,0,-565.129089,0,0,-150.685181,0,0,16.855982,0,0,0,0.000000,0.000000,0.000000,0,0,0
